alpha,mode,ic,icir,mae,ic_regime_2,ic_regime_3,t_vs_static,p_vs_static,ic_delta
0.0,static,-0.030463108320251182,-0.11810495255256023,0.008425498235382715,-0.0008097165991902864,-0.037594936708860764,,,
-2.0,ttpa,-0.013273155416012556,-0.0541875826202437,0.008112903722809135,0.03336032388663967,-0.0244888023369036,1.281724269273764,0.20299464156008695,0.017189952904238626
-1.0,ttpa,-0.03440345368916797,-0.137469113965379,0.00766617577576108,0.001174089068825908,-0.042960077896786755,-0.35821813652499207,0.7209584649480224,-0.003940345368916791
-0.5,ttpa,-0.030117739403453685,-0.1196014273903227,0.008350698336511047,0.007044534412955462,-0.03905550146056475,0.0306410285159163,0.9756187790208738,0.0003453689167974977
0.5,ttpa,-0.014960753532182104,-0.05897514382378794,0.0077968680927567304,-0.0032793522267206467,-0.017770204479065233,2.6015193615818726,0.010734256781092173,0.015502354788069078
1.0,ttpa,-0.02089481946624804,-0.08085270417680318,0.008548745914479681,0.00044534412955465604,-0.026027263875365136,2.1261784204538805,0.036026998247629456,0.009568288854003144
2.0,ttpa,-0.021781789638932497,-0.08675237654521009,0.009488888007567,0.04020242914979757,-0.03668938656280427,0.8815591901077022,0.3801944714170892,0.008681318681318686
3.0,ttpa,-0.025588697017268437,-0.10429369248307292,0.010153680628211927,-0.005627530364372471,-0.03038948393378773,0.5354581129319531,0.5935586750178371,0.004874411302982745
5.0,ttpa,-0.03287284144427001,-0.1349176679822555,0.009211647048051923,0.02574898785425102,-0.04697176241480038,-0.1778450450099553,0.8592155438334493,-0.002409733124018827
